segment_id,road_type,rainfall_mm,rainfall_prev_6h_mm,rainfall_rate_change_mm_per_h,slope_degrees,river_distance_km,historical_closure_count,active_weather_warning,disrupted
SEG_HWY_NH27,highway,31.38,21.79,27.74,0.0,4.609,1,0,0
SEG_HWY_NH37,highway,53.8,4.63,53.03,0.21,3.264,4,0,1
SEG_DIST_AR1,district,34.31,7.8,33.0,25.93,0.985,8,0,0
SEG_STATE_MN2,state,29.58,12.41,27.52,25.16,1.563,1,0,0
SEG_STATE_MN2,state,4.52,13.51,2.27,25.56,2.238,1,0,1
SEG_STATE_AS1,state,35.92,20.83,32.45,18.79,1.688,1,1,0
SEG_HWY_NH27,highway,16.97,17.67,14.02,11.33,4.97,1,0,0
SEG_HWY_NH27,highway,11.25,32.08,5.9,11.69,4.72,2,0,0
SEG_RURAL_NL1,rural,6.15,6.83,5.01,40.11,0.781,1,0,1
SEG_HWY_NH37,highway,65.39,6.03,64.39,3.05,2.587,4,0,0
SEG_HWY_NH37,highway,2.27,4.9,1.45,1.94,2.958,4,0,0
SEG_HWY_NH27,highway,49.27,2.98,48.77,4.37,5.639,2,0,0
SEG_STATE_MN2,state,34.67,13.63,32.4,22.8,1.964,3,0,0
SEG_STATE_MN2,state,6.76,41.94,-0.23,20.08,2.438,2,0,0
SEG_HWY_NH37,highway,26.8,0.58,26.7,0.78,2.634,2,0,0
SEG_STATE_MN2,state,19.18,18.5,16.09,21.23,1.791,1,0,0
SEG_RURAL_NL1,rural,81.8,8.83,80.33,37.05,0.395,8,0,1
SEG_STATE_MN2,state,93.06,3.38,92.49,36.53,1.649,2,0,1
SEG_RURAL_TR1,rural,22.5,9.28,20.95,46.16,0.05,5,0,1
SEG_DIST_AR1,district,69.52,5.21,68.65,31.31,0.466,9,0,0
SEG_HWY_NH37,highway,0.96,13.68,-1.32,3.14,2.473,3,0,0
SEG_STATE_AS1,state,38.07,29.56,33.14,26.72,1.632,6,0,0
SEG_RURAL_NL1,rural,41.99,10.96,40.16,37.41,0.753,3,0,0
SEG_DIST_MZ1,district,38.74,15.27,36.19,37.07,0.985,3,0,0
SEG_DIST_AR1,district,29.82,4.61,29.05,29.24,0.915,10,0,1
SEG_STATE_AS1,state,70.71,12.87,68.57,9.99,1.125,0,0,1
SEG_STATE_MN2,state,16.93,5.88,15.95,25.8,2.069,2,0,1
SEG_DIST_MZ1,district,22.79,1.86,22.48,31.61,0.725,2,0,0
SEG_HWY_NH27,highway,12.04,1.87,11.73,6.21,5.241,5,1,0
SEG_HWY_NH27,highway,14.35,9.74,12.73,9.81,5.396,3,0,0
